Nation,LAD,MSOA,LSOA.DZ.CD,LSOA.DZ.NM,Under.35,Over.65,EPC,Median.Income,Tenure,Typology,Unemployment,Rurality,House.value,Fuel.Type,Fuel.consumption.total,Floor.area,Gas.flag,Number.cars,Urban.trips,Total.vkm,Urban.vkm
Scotland,S12000047,-,S01009723,St Andrews Abbey,0.81,0.08,4,18937,3,3,0.01,1,400000,1,25110,93,1,1,126,17346,11497
Scotland,S12000047,-,S01009724,Kinness Burn East,0.69,0.10,3,21741,1,1,0.09,1,186000,1,18450,75,1,1,402,14796,9807
Scotland,S12000047,-,S01009725,Kinness Burn,0.73,0.10,4,24157,3,1,0.01,1,302584,1,24885,79,1,1,119,17915,11875
Scotland,S12000047,-,S01009726,The Scores,0.81,0.10,4,28819,1,3,0.00,1,659132,1,21165,85,1,1,89,23063,15287
Scotland,S12000047,-,S01009727,Feddinch and The Grange,0.39,0.22,3,34241,1,2,0.03,1,395000,1,15800,79,1,1,837,15039,9968
Scotland,S12000047,-,S01009728,Hallow Hill South,0.37,0.26,4,34158,1,2,0.02,1,280000,1,21488,79,1,1,803,15818,10484
Scotland,S12000047,-,S01009729,Hallow Hill,0.30,0.37,4,30533,1,2,0.02,1,320100,1,36140,130,1,1,647,16076,10656
Scotland,S12000047,-,S01009730,Cairnsmill,0.36,0.32,3,29749,1,1,0.04,1,200000,1,22484,77,1,1,495,13724,9097
Scotland,S12000047,-,S01009731,Canongate,0.36,0.36,4,25271,1,2,0.01,1,310000,1,28712,148,1,1,376,14745,9773
Scotland,S12000047,-,S01009732,Kinness Burn West,0.62,0.18,4,25616,1,1,0.02,1,440236,1,31860,90,1,1,290,21374,14167
Scotland,S12000047,-,S01009733,Clayton and Clatto,0.31,0.24,4,32493,1,2,0.04,2,190000,1,27936,96,0,1,180,13611,2722
Scotland,S12000047,-,S01009734,Strathkinness and Craigton,0.34,0.25,3,32788,1,2,0.02,2,321575,1,21114,69,0,1,290,17840,3568
Scotland,S12000047,-,S01009735,Lawhead and Northbank,0.56,0.25,4,34468,1,2,0.00,1,482500,1,25894,121,1,1,550,16808,11141
Scotland,S12000047,-,S01009736,North Haugh,0.85,0.10,3,20024,1,3,0.00,1,182500,1,15686,62,0,1,164,17297,11465
Scotland,S12000047,-,S01009737,Leuchars West,0.54,0.13,4,32569,2,1,0.06,2,151500,1,18557,77,1,1,229,16393,3278
Scotland,S12000047,-,S01009738,Guardbridge,0.36,0.21,4,29759,1,1,0.03,2,145000,1,22274,74,1,1,180,14970,2994
Scotland,S12000047,-,S01009739,Leuchars North East and St Michaels,0.52,0.07,4,43515,2,1,0.03,2,151500,1,18525,75,0,1,257,17495,3499
Scotland,S12000047,-,S01009740,Leuchars North,0.37,0.17,4,27924,1,1,0.10,2,132500,1,18150,75,1,1,134,14286,2857
Scotland,S12000047,-,S01009741,Leuchars East,0.70,0.02,3,36782,2,1,0.00,2,152000,1,23871,109,1,1,183,11117,2223
Scotland,S12000047,-,S01009742,St Fort and Pickletillem,0.29,0.31,2,38289,1,2,0.03,2,450000,2,37620,190,0,1,172,17012,3402
Scotland,S12000047,-,S01009743,Gauldry and Balmerino,0.30,0.31,4,32222,1,2,0.05,2,173288,1,20303,79,1,1,362,15719,3144
